crossing time (s)	slope (V/s)	crossing number
7017.487155	1.929847	5621
7018.502413	2.335287	5622
7019.561131	2.341049	5623
7020.583326	2.333215	5624
7021.634722	2.259216	5625
7022.653076	1.829250	5626
7023.708935	2.078723	5627
7024.729550	2.224671	5628
7025.779969	2.204874	5629
7026.804553	2.218364	5630
7027.855811	2.045287	5631
7028.882733	2.371078	5632
7029.930580	2.334440	5633
7030.955589	1.969102	5634
7032.006471	2.199176	5635
7033.030252	1.838991	5636
7034.077969	2.634693	5637
7035.103568	1.948809	5638
7036.153378	2.386577	5639
7037.180606	1.910972	5640
7038.229689	2.857195	5641
7039.254910	1.901046	5642
7040.306842	2.475160	5643
7041.325823	1.792924	5644
7042.380427	2.758480	5645
7043.399117	2.260558	5646
7044.456580	2.425681	5647
7045.472251	1.978879	5648
7046.531204	2.649664	5649
7047.547895	1.916274	5650
7048.609001	2.585689	5651
7049.618795	2.439216	5652
7050.685363	2.356213	5653
7051.697285	2.113797	5654
7052.758792	2.424358	5655
7053.770164	2.249000	5656
7054.831955	2.409409	5657
7055.847459	2.142857	5658
7056.906909	2.551642	5659
7057.924154	2.297470	5660
7058.980717	2.742425	5661
7060.000732	2.077681	5662
7061.056181	2.748031	5663
7062.077617	2.004267	5664
7063.131623	2.986055	5665
7064.151158	2.127059	5666
7065.206289	2.680007	5667
7066.229138	2.107874	5668
7067.279941	2.861743	5669
7068.303278	2.231010	5670
7069.354579	2.849142	5671
7070.378870	2.099266	5672
7071.430626	3.067377	5673
7072.452576	2.303893	5674
7073.505729	2.924548	5675
7074.527471	2.260096	5676
7075.581103	3.116525	5677
7076.602296	2.409465	5678
7077.655617	2.949410	5679
7078.677557	2.228990	5680
7079.731570	3.195352	5681
7080.751472	2.426997	5682
7081.807101	2.964653	5683
7082.823655	2.341404	5684
7083.882158	2.934159	5685
7084.897740	2.633018	5686
7085.957409	2.941000	5687
7086.973745	2.418603	5688
7088.033687	2.975527	5689
7089.045393	2.719141	5690
7090.108769	2.926716	5691
7091.121318	2.558537	5692
7092.184727	3.004234	5693
7093.195792	2.939058	5694
7094.259744	3.006170	5695
7095.272846	2.827386	5696
7096.332727	2.887658	5697
7097.345898	2.704638	5698
7098.409205	2.869066	5699
7099.424971	2.620167	5700
7100.483619	3.047514	5701
7101.500442	2.611581	5702
7102.555097	3.307459	5703
7103.575468	2.622674	5704
7104.632964	3.343996	5705
7105.650191	2.781095	5706
7106.706778	3.326195	5707
7107.727806	2.617168	5708
7108.783966	3.412874	5709
