time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
7303.821408	263.637878	0.755775	0.080626	9
7305.895006	263.482941	0.758593	0.080993	11
7307.969102	263.181427	0.761358	0.080980	13
7310.044264	263.008362	0.764168	0.081236	15
7312.120086	262.817719	0.767161	0.081268	17
7314.194863	262.631134	0.770229	0.081302	19
7316.269716	262.418213	0.773541	0.081651	21
7318.344939	262.210266	0.777013	0.081593	23
7320.420514	262.019806	0.779556	0.081533	25
7322.495730	261.881622	0.782175	0.081550	27
7324.570368	261.705475	0.785200	0.081507	29
7326.645446	261.538391	0.788165	0.081530	31
7328.720527	261.337250	0.792133	0.081372	33
7330.795333	261.185822	0.795092	0.081489	35
7332.870050	261.025055	0.798863	0.081505	37
7334.944900	260.899017	0.801955	0.081868	39
7337.019713	260.700195	0.805897	0.081697	41
7339.094137	260.511536	0.809108	0.081597	43
7341.169002	260.368561	0.812286	0.081454	45
7343.244586	260.220215	0.816087	0.081546	47
7345.319233	260.061798	0.819589	0.081546	49
7347.394030	259.873383	0.822493	0.081730	51
7349.469424	259.714264	0.825809	0.081568	53
7351.544896	259.503265	0.829459	0.082004	55
7353.620282	259.330017	0.832748	0.082268	57
7355.695193	259.128143	0.835853	0.082510	59
7357.770471	258.967865	0.839361	0.082882	61
7359.846618	258.766388	0.843083	0.082945	63
7361.920764	258.616974	0.846645	0.083378	65
7363.995829	258.459961	0.850175	0.083741	67
7366.070804	258.323364	0.853713	0.083710	69
7368.145690	258.210968	0.857928	0.083878	71
7370.220411	258.085236	0.862207	0.084384	73
7372.295380	257.925110	0.866255	0.084344	75
7374.370054	257.791565	0.869841	0.084329	77
7376.445279	257.649048	0.873952	0.084597	79
7378.519809	257.542633	0.877992	0.084499	81
7380.594849	257.389496	0.881781	0.084651	83
7382.670046	257.230804	0.885438	0.084488	85
7384.744923	257.090118	0.888890	0.084431	87
7386.820381	256.892487	0.891955	0.085004	89
7388.895612	256.716553	0.896043	0.084632	91
7390.970882	256.545990	0.899530	0.084751	93
7393.045890	256.378967	0.902957	0.084808	95
7395.121103	256.187897	0.906546	0.084854	97
7397.196546	256.050873	0.910128	0.084682	99
7399.271823	255.869522	0.913958	0.084775	101
7401.346887	255.705353	0.917241	0.084850	103
7403.421869	255.555527	0.920527	0.085034	105
7405.497306	255.399338	0.924465	0.084643	107
7407.571766	255.254578	0.928096	0.084842	109
7409.646385	255.164505	0.932449	0.084765	111
7411.721434	255.044785	0.936081	0.084712	113
7413.796290	254.995239	0.942955	0.082785	115
7415.872381	254.843674	0.939818	0.084444	117
7417.947399	254.922104	0.939541	0.084953	119
7420.021679	254.943497	0.939048	0.085546	121
7422.096605	254.932434	0.938849	0.085968	123
7424.171841	254.917587	0.937590	0.086622	125
7426.246719	254.945343	0.936388	0.087125	127
7428.321495	254.961212	0.935003	0.087846	129
7430.396454	254.978729	0.933902	0.088123	131
7432.471842	254.963989	0.932751	0.088923	133
7434.546900	254.934204	0.931329	0.089296	135
7436.621680	254.986313	0.930758	0.089300	137
7438.696001	255.060028	0.930167	0.090407	139
7440.770400	255.028839	0.929444	0.090770	141
7442.845571	255.041351	0.928071	0.091411	143
7444.920165	255.129379	0.926817	0.091794	145
7446.994695	255.155441	0.926089	0.092092	147
7449.069267	255.153534	0.924511	0.092589	149
7451.144584	255.232437	0.923309	0.092923	151
7453.218959	255.288971	0.921985	0.093521	153
7455.293431	255.320145	0.921567	0.093621	155
7457.368525	255.298553	0.919812	0.094050	157
7459.443163	255.298981	0.918206	0.094808	159
7461.518729	255.361664	0.916604	0.095041	161
7463.592992	255.331619	0.915596	0.095321	163
7465.667956	255.301041	0.914807	0.095973	165
7467.742916	255.271561	0.912468	0.096408	167
7469.818398	255.291702	0.911557	0.096700	169
7471.893157	255.329453	0.910029	0.097001	171
7473.968043	255.325363	0.908207	0.097379	173
7476.042930	255.300049	0.906485	0.098025	175
7478.118112	255.327728	0.905555	0.098538	177
7480.193099	255.362518	0.904962	0.098795	179
7482.267443	255.385284	0.903800	0.100000	181
7484.342467	255.384109	0.902644	0.100000	183
7486.417130	256.316681	0.888679	0.100000	185
7488.491837	256.283661	0.887294	0.100000	187
7490.566428	255.451065	0.899051	0.100000	189
7492.641106	255.495544	0.897590	0.100000	191
7494.715998	255.473648	0.897458	0.100000	193
7496.790815	255.528244	0.895820	0.100000	195
7498.865541	255.471603	0.894758	0.100000	197
7500.940403	255.531937	0.893415	0.100000	199
7503.015588	255.534042	0.892079	0.100000	201
7505.090425	255.564209	0.891518	0.100000	203
7507.165302	255.562164	0.891255	0.100000	205
7509.240173	255.547653	0.890948	0.100000	207
7511.314945	255.576981	0.889369	0.100000	209
7513.389858	255.595306	0.888047	0.100000	211
7515.464602	255.593216	0.885997	0.100000	213
7517.539548	255.685669	0.884836	0.100000	215
7519.614139	255.660141	0.883793	0.100000	217
7521.688910	255.740982	0.882232	0.100000	219
7523.763632	255.763931	0.881640	0.100000	221
7525.838199	255.821747	0.880376	0.100000	223
7527.912593	255.836212	0.879565	0.100000	225
7529.986978	255.880569	0.878596	0.100000	227
7532.061839	255.944916	0.878029	0.100000	229
7534.136974	255.943649	0.876513	0.100000	231
7536.211886	255.962845	0.875562	0.100000	233
7538.286371	255.935852	0.874001	0.100000	235
7540.361620	255.975693	0.871700	0.100000	237
7542.436574	256.002594	0.870607	0.100000	239
7544.511143	256.005554	0.870154	0.100000	241
7546.585548	255.991089	0.868364	0.100000	243
7548.660942	255.981720	0.867131	0.100000	245
