time (s)	magX	magY	magZ
8344.893742	7.900642	-173.100525	-10.873173
8344.897006	7.900642	-171.814728	-9.119813
8344.900330	8.075979	-169.535370	-9.178259
8344.903578	8.660431	-167.665100	-8.476913
8344.906976	8.426651	-165.736420	-7.483343
8344.910252	8.777323	-164.567505	-6.255991
8344.913583	8.894213	-162.755707	-5.613091
8344.916886	9.361776	-161.586792	-4.677966
8344.920588	9.069550	-159.482758	-3.099941
8344.923884	8.777323	-157.963165	-3.333723
8344.927159	9.654003	-156.326691	-2.281707
8344.930504	9.595556	-155.800720	-2.281707
8344.933799	9.361776	-153.988892	-3.275278
8344.937154	9.186440	-152.995331	-1.229690
8344.940441	8.894213	-151.767975	-0.879018
8344.943804	10.004675	-150.540619	-0.820573
8344.947045	9.478666	-150.014618	-0.762127
8344.950857	9.361776	-149.313263	-0.177674
8344.954133	9.420221	-147.852142	0.172998
8344.957402	9.595556	-146.975464	0.289889
8344.960703	9.829338	-145.923431	-0.177674
8344.963961	10.238455	-144.988312	0.757452
8344.967253	10.180010	-144.871429	0.289889
8344.970572	10.238455	-143.585602	1.049678
8344.974283	10.180010	-142.767395	1.283460
8344.977552	10.121565	-141.832275	1.751023
8344.980856	10.413794	-141.247803	1.108124
8344.984128	10.238455	-140.897125	1.984804
8344.987496	10.355349	-140.020447	1.751023
8344.990777	10.939802	-139.319122	3.153711
8344.994186	10.764465	-138.910004	2.978375
8344.997483	10.939802	-138.734650	2.978375
8345.000770	11.758036	-139.026886	2.861485
8345.004070	11.115137	-137.974854	3.387493
8345.007822	10.706020	-138.091766	3.329047
8345.011127	11.290474	-137.624207	4.322618
8345.014380	11.348919	-137.507294	3.562829
8345.017682	11.290474	-137.215088	3.329047
8345.020979	11.524254	-136.338409	4.264174
8345.024308	11.290474	-136.689087	3.913501
8345.027578	11.348919	-136.572174	3.504383
8345.030960	12.050262	-136.630615	3.679719
8345.034667	11.933372	-137.039734	3.855055
8345.038269	12.225599	-136.747528	3.387493
8345.041594	12.459379	-136.689087	3.562829
8345.044923	12.517826	-136.747528	4.030391
8345.048266	12.284044	-136.981293	4.322618
8345.051617	12.751606	-137.215088	3.913501
8345.054923	12.868498	-137.098175	3.738164
8345.058260	13.102278	-137.799530	3.562829
8345.061591	13.219170	-137.156647	2.803039
8345.064925	13.511396	-137.741089	3.095266
8345.068254	13.394505	-138.559326	2.861485
8345.071593	13.803623	-138.559326	3.095266
8345.074929	13.511396	-138.910004	3.036820
8345.078263	13.745176	-139.903564	2.335476
8345.081597	13.803623	-139.786682	2.978375
8345.084924	14.446522	-140.546448	2.043250
8345.088255	14.680304	-140.488037	1.458796
8345.091588	15.030976	-141.247803	1.283460
8345.094952	15.206312	-141.832275	1.517241
8345.098258	15.206312	-142.241364	0.815897
8345.101587	15.732320	-143.234955	0.932788
8345.104929	15.556984	-144.345398	0.991233
8345.108252	15.147867	-144.871429	0.582116
8345.111585	15.966102	-145.572754	0.172998
8345.114920	16.082993	-147.092346	0.056108
8345.118258	16.667446	-148.144348	0.289889
8345.121586	17.018118	-148.436584	-0.119229
8345.124919	16.375217	-149.722382	-0.645236
8345.128253	17.836353	-150.774414	-1.463472
8345.131586	17.485680	-151.651093	-1.872589
8345.134934	17.135008	-152.644653	-2.690824
8345.138271	17.485680	-153.930450	-3.099941
8345.141584	17.719461	-155.625366	-4.619521
8345.144925	17.953243	-156.794281	-4.210403
8345.148257	18.303917	-158.430725	-5.846873
8345.152006	18.420807	-159.365875	-6.255991
8345.155363	18.946815	-160.943909	-6.255991
8345.158679	18.946815	-162.463470	-7.541788
8345.162014	19.648159	-164.275269	-8.009352
8345.165347	19.706604	-165.677979	-8.827586
8345.168712	20.524839	-168.074219	-9.762712
8345.172024	21.109291	-168.483337	-10.464056
8345.175395	20.992401	-171.054932	-10.990065
8345.178679	21.459965	-173.451202	-11.983636
8345.182016	22.453535	-175.029236	-12.918761
8345.185343	21.927528	-176.899475	-13.327878
8345.188676	22.862654	-178.594391	-13.620105
8345.192011	23.622442	-180.990631	-15.490356
8345.195340	24.148451	-182.919342	-16.308592
8345.198692	24.499123	-185.023376	-17.769726
8345.202022	25.083576	-187.828735	-18.821741
8345.205357	25.492693	-189.699005	-20.282875
8345.208728	26.310928	-192.153717	-20.925774
8345.212040	27.129164	-195.485077	-22.270016
8345.215332	27.538280	-197.822906	-23.614262
8345.219095	28.473408	-200.219177	-25.250732
8345.222460	29.057859	-202.849213	-26.828754
8345.225788	29.291641	-205.946808	-28.640560
8345.229158	30.402103	-208.635315	-30.043251
8345.232495	31.278784	-211.908234	-32.497955
8345.235779	31.804792	-215.122742	-34.485096
8345.239098	32.097019	-218.161896	-37.524254
8345.242457	33.499706	-220.967255	-38.400936
8345.245773	34.084160	-224.766235	-40.037403
8345.249113	35.194622	-228.272919	-42.959671
8345.252491	35.779076	-231.954987	-45.239040
8345.255859	36.071304	-235.052612	-48.570427
8345.259177	37.590881	-238.617767	-50.440678
8345.262424	38.116890	-242.942749	-52.603153
8345.265757	39.227352	-247.092346	-56.168324
8345.269093	40.279369	-251.417297	-59.499710
8345.272437	41.214493	-254.924042	-62.597309
8345.275781	42.441845	-259.365875	-65.811806
8345.279161	43.610756	-263.983063	-69.727646
8345.282491	44.721214	-268.541779	-72.591461
8345.286170	46.007011	-273.158966	-77.033318
8345.289533	47.351257	-277.367035	-81.475159
8345.292936	48.461716	-282.627136	-85.390999
8345.296263	49.864407	-287.653412	-89.891289
8345.299579	51.033310	-293.088837	-94.859146
8345.302952	51.851547	-298.115143	-99.359436
8345.306250	53.897133	-302.907654	-104.911743
8345.309563	55.241379	-308.226196	-110.756279
8345.312951	57.754532	-313.720062	-115.548798
8345.316254	59.040329	-319.623047	-122.036240
8345.319584	60.267677	-325.467560	-128.114563
8345.322875	62.605495	-330.902985	-135.244888
8345.326189	64.767975	-337.741089	-143.251892
8345.329528	66.287552	-343.877869	-149.856216
8345.332907	68.274689	-349.956177	-156.928116
8345.336248	70.612503	-356.268280	-164.818237
8345.339592	72.950325	-362.521942	-173.643478
8345.342918	74.937462	-368.658691	-182.936295
8345.346217	77.742836	-375.438354	-191.936874
8345.349607	79.905319	-381.867310	-202.164810
8345.352937	82.184685	-388.939240	-212.684982
8345.356286	85.282288	-395.251312	-222.854477
8345.359602	87.736992	-402.323212	-234.426651
8345.362909	90.893044	-408.869080	-244.888367
8345.366670	94.049088	-415.999420	-257.103455
8345.369979	97.029800	-422.895966	-269.786102
8345.373287	99.835182	-430.084747	-283.812988
8345.376593	103.400345	-437.156647	-298.132111
8345.379851	106.731735	-444.286957	-312.626556
8345.383201	109.770889	-450.657501	-327.939240
8345.386480	112.985390	-458.372314	-343.544159
8345.389782	116.725891	-465.736450	-360.785522
8345.393062	120.407944	-471.990051	-378.611359
8345.396779	124.206894	-479.646393	-396.495636
8345.400072	128.005844	-485.666290	-415.081268
8345.403393	131.629456	-491.569275	-435.946228
8345.406663	136.071304	-497.939850	-455.876129
8345.409951	140.337814	-503.433685	-477.325531
8345.413232	144.370544	-509.570465	-499.534790
8345.416516	148.812393	-514.479797	-523.146667
8345.420297	154.306259	-520.090576	-546.992371
8345.423545	158.981888	-523.772644	-571.305664
8345.426838	163.482178	-528.156006	-594.976013
8345.430128	168.625366	-531.604309	-621.042664
8345.433393	172.891891	-534.526550	-647.167725
8345.436698	177.976624	-537.273499	-674.520142
8345.439998	183.295151	-539.143799	-702.457031
8345.443760	189.139694	-540.721741	-730.510803
8345.447097	194.049103	-541.130920	-758.272339
8345.450415	199.426071	-539.903564	-788.897705
8345.453732	205.036819	-539.319092	-818.061951
8345.457079	210.881363	-536.513733	-848.395081
8345.460377	217.018127	-534.585022	-878.903503
8345.463694	222.161316	-530.786072	-909.645752
8345.466970	227.596725	-525.175293	-940.797180
8345.470331	233.908844	-519.681458	-970.545898
8345.473586	238.526001	-512.083557	-1000.236145
8345.476932	244.019882	-504.661041	-1030.510864
8345.480268	249.279968	-496.011139	-1060.785522
8345.483964	254.890717	-484.848083	-1089.891235
8345.487262	259.800110	-472.866791	-1117.769775
8345.490539	264.066650	-458.664520	-1145.706543
8345.493907	268.800690	-444.345428	-1172.123901
8345.497172	272.774994	-428.565155	-1198.833374
