time (s)	det(V)
8614.084796	0.005524	
8614.086278	0.004747	
8614.087982	0.005270	
8614.089467	0.005657	
8614.091179	0.005359	
8614.092667	0.004988	
8614.094360	0.005520	
8614.095838	0.005081	
8614.097508	0.004783	
8614.099001	0.005355	
8614.100657	0.005645	
8614.102187	0.006386	
8614.103786	0.005601	
8614.105351	0.006237	
8614.106936	0.006253	
8614.108534	0.006519	
8614.110077	0.005754	
8614.111716	0.006004	
8614.113224	0.006080	
8614.114896	0.006273	
8614.116386	0.006479	
8614.118016	0.006995	
8614.119506	0.006197	
8614.121127	0.006398	
8614.122634	0.007373	
8614.124265	0.006048	
8614.125743	0.006664	
8614.127325	0.006394	
8614.128860	0.006475	
8614.130391	0.006225	
8614.132011	0.006668	
8614.133509	0.006954	
8614.135136	0.007422	
8614.136663	0.006708	
8614.138282	0.007248	
8614.139777	0.007474	
8614.141418	0.007011	
8614.142890	0.006684	
8614.144520	0.007639	
8614.146006	0.006910	
8614.147639	0.006632	
8614.149141	0.007353	
8614.150752	0.007301	
8614.152275	0.007639	
8614.153816	0.007579	
8614.155400	0.007679	
8614.156892	0.007631	
8614.158538	0.006801	
8614.160029	0.007236	
8614.161670	0.007647	
8614.163165	0.007562	
8614.164812	0.007260	
8614.166292	0.008102	
8614.167933	0.007957	
8614.169414	0.007502	
8614.171039	0.008006	
8614.172527	0.008147	
8614.174113	0.007663	
8614.175639	0.007687	
8614.177189	0.006914	
8614.178790	0.007091	
8614.180270	0.007341	
8614.181898	0.007115	
8614.183399	0.007405	
8614.185038	0.007804	
8614.186554	0.007740	
8614.188188	0.007373	
8614.189660	0.007957	
8614.191231	0.007107	
8614.192732	0.006423	
8614.194280	0.007264	
8614.195816	0.006346	
8614.197302	0.006201	
8614.198886	0.006576	
8614.200399	0.006040	
8614.201989	0.006672	
8614.203480	0.006112	
8614.205089	0.006547	
8614.206612	0.006145	
8614.208181	0.005931	
8614.209655	0.004666	
8614.211214	0.005637	
8614.212702	0.004783	
8614.214265	0.004694	
